PARTIDO,IDEOLOGIA_PARTIDO
AVANTE,Centro
PT do B,Centro
CIDADANIA,Esquerda
DC,Direita
DEM,Direita
MDB,Centro
PMDB,Centro
NOVO,Direita
PATRIOTA,Direita
PCB,Esquerda
PPS,Esquerda
PRP,Direita
PC do B,Esquerda
PcdoB,Esquerda
PCdoB,Esquerda
PTN,Direita
PEN,Direita
PCO,Esquerda
PDT,Esquerda
PL,Direita
PR,Direita
PMB,Direita
PMN,Esquerda
PODE,Direita
PHS,Direita
PP,Direita
PROS,Centro
PRTB,Direita
PSB,Esquerda
PSC,Direita
PSD,Direita
PSDB,Centro
PSL,Direita
PSOL,Esquerda
PSTU,Esquerda
PT,Esquerda
PTB,Direita
PTC,Direita
PV,Esquerda
REDE,Esquerda
REPUBLICANOS,Direita
PRB,Direita
SOLIDARIEDADE,Centro
UP,Esquerda
PPL,Esquerda
UNIÃO,Direita
